month,avg_unique_viewers_per_day
2020-04,12169
2020-05,1697
2020-06,4056
2020-07,89673
2020-08,105027
2020-09,125669
2020-10,167060
2020-11,156969
2020-12,216947
2021-01,271914
2021-02,224706
2021-03,95404
2021-04,61303
2021-05,55454
2021-06,67168
2021-07,58965
2021-08,209893
2021-09,185307
2021-10,238403
2021-11,452773
2021-12,655258
2022-01,518268
2022-02,348610
2022-03,255407
2022-04,168807
2022-05,120462
2022-06,
2022-07,58951
2022-08,49316
2022-09,42738
2022-10,42535
2022-11,34722
2022-12,31496
2023-01,25306
2023-02,20609
2023-03,23583
2023-04,20255
2023-05,17333
2023-06,18278
2023-07,15130
2023-08,21127
2023-09,23917
2023-10,18372
2023-11,12695
2023-12,15620
